n00001740	entity
n00001930	physical entity
n00002137	abstraction
n00002452	thing
n00002684	object
n00003553	whole
n00003993	congener
n00004258	living thing
n00004475	organism
n00005787	benthos
n00005930	dwarf
n00006024	heterotroph
n00006150	parent
n00006269	life
n00006400	biont
n00006484	cell
n00007347	causal agent
n00007846	person
n00015388	animal
n00017222	plant
n00019046	native
n00019128	natural object
n00019613	substance
n00020090	substance
n00020827	matter
n00021265	food
n00021734	nutrient
n00021939	artifact
n00022903	article
n00023100	psychological feature
n00023271	cognition
n00023773	motivation
n00024264	attribute
n00024720	state
n00026192	feeling
n00027167	location
n00027807	shape
n00028270	time
n00028651	space
n00029007	absolute space
n00029114	phase space
n00029378	event
n00029677	process
n00030358	act
n00031264	group
n00031921	relation
n00032613	possession
n00032823	social relation
n00033020	communication
n00033615	measure
n00034213	phenomenon
n00034479	thing
n00034574	kindness
n00034777	abdominoplasty
n00034939	abort
n00035189	accomplishment
n00035697	agon
n00035891	alienation
n00036061	application
n00036299	beachhead
n00036580	cakewalk
n00036762	feat
n00037006	masterpiece
n00037090	masterstroke
n00037200	credit
n00037396	action
n00038175	res gestae
n00038262	course
n00038573	blind alley
n00038863	collision course
n00039021	interaction
n00039211	interplay
n00039297	contact
n00039545	brush
n00039740	eye contact
n00039916	fetch
n00039990	placement
n00040152	interchange
n00040420	reciprocity
n00040545	cross-fertilization
n00040804	dealings
n00040962	relation
n00041188	playing
n00041468	play
n00041614	boondoggle
n00041740	bowling
n00041899	acquiring
n00042311	causing
n00042541	delivery
n00042757	departure
n00043116	derring-do
n00043195	discovery
n00043609	disposal
n00043902	hit
n00044150	implementation
n00044455	egress
n00044673	equalization
n00044900	exhumation
n00045114	mitzvah
n00045250	propulsion
n00045646	rally
n00045907	recovery
n00046177	running away
n00046344	stunt
n00046522	touch
n00047018	tour de force
n00047106	performance
n00047356	overachievement
n00047550	underachievement
n00047745	record
n00047941	fait accompli
n00048051	going
n00048225	arrival
n00048374	arrival
n00048656	attainment
n00048828	advent
n00049003	entrance
n00049344	incursion
n00049530	intrusion
n00049636	irruption
n00049789	entree
n00049909	entail
n00050037	registration
n00050195	appearance
n00050484	apparition
n00050693	emergence
n00050887	reappearance
n00051077	comeback
n00051192	return
n00051385	repatriation
n00051525	penetration
n00051712	interpenetration
n00051897	market penetration
n00052052	anchorage
n00052146	docking
n00052334	landing
n00052500	landing
n00052791	forced landing
n00053020	breaking away
n00053097	farewell
n00053405	French leave
n00053525	valediction
n00053609	disappearance
n00053806	vanishing
n00053913	withdrawal
n00054328	effacement
n00054483	retreat
n00054652	retirement
n00054821	evacuation
n00055038	medical evacuation
n00055227	decampment
n00055315	desertion
n00055633	abscondment
n00055793	absence without leave
n00055932	deviationism
n00056087	emigration
n00056311	immigration
n00056551	aliyah
n00056688	pullback
n00056912	retreat
n00057162	standdown
